comment,toxic
верблюд дебил бл,1.0
хохол это отдушина затюканый россиянин мол вон хохлов плохой хохлов кисель придумать,1.0
собака собачий смерть,1.0
страница обновить дебил это оскорбление доказать факт дебил множественный число писать верить это твой воображать друг,1.0
убедить страничный пдф скрипаль отравить россия анализировать думать пытаться ватник,1.0
какой стан являться эталон современный система здравоохранение рф зимбабве тупой хохол,1.0
шапка ссылка инф текущий фильм марвести ссылка заменить фраза репортить брипидор игнорировать пост недостаточно понять модератор абсолютный неадекват нужно лишить полномочие этот борд пробивать абсолютный дно неадекватность,0.0
упад так строить технология разворовать трещина пош л тупой китаз мочь нормально сделать,1.0
ебать разносить шизик,1.0
обосраться сидеть обтекать,1.0
писать хуйня дегенерат поцелуй губа поцелуй засос,1.0
бактерия ты понять истый быть рик подробный сахаров н вещать бред написать вс логично фраза обратить ты твой проблема учиться изъясняться определ ннея заказать книга второй мировой война ой извинить шваль просто чернь это условие действительно заказать маняграфия,1.0
почитать пост автор найти полезный надеяться помочь,0.0
урод семья поколение родиться,1.0
мочь ещ модер безмозглый позвать,1.0
хороший врать террорист торча шизофреник пруф костюм чуткий уч ный миллиардер филантроп,1.0
весь кстати наплевать главный уровень жизнь вдвойне наплевать кукареканье тупорылый хохол форум помойка,1.0
график обидно проходить серия гта второй часть пятый кроме гта мешать графика один часть комп куча видеокарта начинать мб заканчивать гб который спокойно играть который год танк гта ведьмак купить распродажа начать проходить ультр понизить текстура мешать понимать дрочева графика требовать график уровень плойка минимум глаз резать повод управление хватать переходник джойстик иксбокс потенциал мобильный игра достаточно забить кнопка забиваться тот самый плохой игра,0.0
вообще мимо широта л поплакать твой головушка подзалупный истеричка далёкий пойти тупой обмануть ванька тот воевак глупый невоспитанный бедный прошлое будущее наебали ресентимент ушлый чекист такой жирный приживал гейгорка гоблач вс это снимать личный ответственность жизнь поступок очень жаль рука ты подать отгрызть шь,1.0
мэдисон стример это троллинг мать детство ронять ты нравиться прикидываться тупой просто тупой,1.0
посмотреть комментарий твой пост процент говнокоммент ниже средний отметка,1.0
это утверждать чмоха спалиться,1.0
оба страна партия война оба страна этот война разжигаться поддерживаться смотреть парень руснявый пиздежа пидаран требовать хороший отношение маня это украина хуярить роиса град украина засылать роися террорист бандит ихтамнет харк ты ести спидознать тварь,1.0
причём чувство юмор придумать опровергнуть писать считать весёлый нация,1.0
агрессия ткнуть твой дерьмо обтекать это отрицательный эмоция просто факт,1.0
иметь против кремль холоп заморский барин,1.0
ох вау сторона нож резать подсказать дебил хвастаться рязанский еблом ещ гуглита незнакомый словечко весь быть никто нужный селюк никто нужный тред,1.0
это смешно урод мочь поржать объяснить урод приспособиться это жить пока потреблять удобный тот продавать хавка цацка скорее верно ваш утверждение мир ебануть узко смотреть,1.0
,0.0
пытаться украинский прекрасно читаться отлично читать быть русский либерал учить специально украинский вон лог чев бола шенко ватник причём поехать справка позволять ездить пригородный поезд понимать украинский белоррусский польский свой пруфа искать инфожд новороссия это эксперементальный полигон пынь проводить эксперемент определение уровень терпильность россиянин допустить сначала новороссия вводить новшевство россиянин терпеть такой вещь ввести рф новороссия новохуесоссия это давно ясно полигон якобы независимый беларусь,1.0
ещ руснить дегенерат пиздец просто,1.0
ты сказать нечего понимать нету свой понимание вопрос животное плохой отвечать такой высера типичный представитель травля тред,1.0
диванный политолог слиться обычно,1.0
какой пора неадекват это оскорбление пикаба тысяча такой комментарий модератор быть призвать удалять дурак называть это вопрос дурак такой вопрос пикаба тысяча вплоть ебануть долбоести считаться оскорбление удаляться считать оскорбление тысяча оскорбление считать правило один случай работать друг это угодный правило,1.0
год это либо ты ухо ссать завидовать либо знать рабство какой бодишоп это средний американец это лох туда наш бодить шоп перевозить человек год это учёт виза который запрещать смена работодатель так быть условие средний хороший равно никуда деться зайти медианный зарплата почитать позориться свой выдумать знакомый страховка цифра смочь прочитать короче методичок хороший тот тема сразу видеть пиздабол,1.0
возьма м пример россия западноевропейский страна сша ида так метисация сознательный политика замещение белый население пришлый черно коричневый ида так создание новый раса метис исламизация почернение крупный город половина население выходец ебеня мексика африка ближний восток случай россия кавказ средний азия этнический ниггеро арабский гетто верить хуй закон хотеть чудовищный масштаб этнический преступность говорить миграция затрагивать тема замещение коренной население власть иначе бутылка свобода слово молодой человек говорить белые должный вымереть это нормально белые официально вымирать веда тся пропаганда иначе направить снижение рождаемость белый население феминизм лгбт чайлдфри каждый женщина швеция леволиберальный феминистка это страна победить феминизм сегодня происходить страшно делаться пропагандироваться смешанный брак межрасовый брак пропагандироваться превосходство ребёнок метис ида так демонизация белый пропаганда превосходство ч рный смуглый мужчина форс отношение белый женщина смуглый ч рный мужчина мигрант результат вс чернильница вс смешанный брак вс небелый метис белые женщина просто хотеть контактировать мужчина свой нация раса наделять самый плохой качество обожествлять чёрный большинство белый считать завоз чурка плохой наоборот относиться толерантный проводиться политика насаждение толерантность мультикультурализм политкорректность космополитизм набирать популярность россия это вообще отдельный тема обсуждение вс вышеперечисленный относиться сильнейший страна бывший империя нагибать слабый сегодня происходить бывший империя прямой смысл деградировать вырождаться вымирать место сильнейший господствовать народ занимать тот кто колонизировать франция быть доминировать негр араб россия кавказец выходец средний азия великобритания индиец негр араб пакистанец маленький нейтральный страна вроде словения беларусь литва чехия румыния эстония вс пучок вымирание грозить оставаться быть оставаться белый веда тся политика направить сохранение традиционный ценность культура коренной население сказать беженец польша например русский украинец гораздо лёгкий переехать остаться араб африканец германия ситуация противоположный белый ждать польша чехия словакия венгрия словения хорватия сербия биг черногория македония греция болгария румыния молдова украина беларусь литва латвия эстония европа будущее скандинавия южный западный европа также россия лишиться коренной население свой культура,0.0
старый маразматик писать кириллица латинница видный спорить задвигать русский язык видно далёкий сказать казахский внезапно пол страна оказаться второй сорт надеяться ошибаться это проходить другой страна азия прибалтика закавказье мир весь мир русский слон хороший друг казахский слон,0.0
